Zaman_saniye,Cikis_Voltaji_V,Bobin_Akimi_A
2.3500000000000002e-05,0.07954073035196985,0.6435293364287716
2.4e-05,0.08279663106352056,0.6625919659922358
2.45e-05,0.0861474923540489,0.6816510823283787
2.5e-05,0.08959328651962022,0.7007065844297048
2.55e-05,0.09313398535424668,0.7197583713184521
2.6000000000000002e-05,0.09676956015008921,0.7388063420471271
2.65e-05,0.10049998169766253,0.7578503956990386
2.7e-05,0.1043037356608777,0.7638691596690572
2.75e-05,0.10811174707943931,0.7637562131357343
2.8e-05,0.11191878722254851,0.7636392160309513
2.85e-05,0.11572483594209935,0.7635181693984836
2.9e-05,0.11952987309735565,0.7633930743035363
2.9500000000000002e-05,0.1233338785550571,0.7632639318327381
3e-05,0.12713683218952626,0.7631307430941306
3.05e-05,0.1309856271938343,0.782142429416743
3.1e-05,0.13492906477225294,0.8011499719389166
3.15e-05,0.13896711410209817,0.8201532699930847
3.2e-05,0.14309974386066515,0.8391522229447315
3.2500000000000004e-05,0.1473269222254468,0.8581467301929236
3.3e-05,0.1516486168743553,0.8771366911708425
3.35e-05,0.15606479498594536,0.896122005346314
3.4e-05,0.16057542323964152,0.915102572222341
3.45e-05,0.1651804678159669,0.9340782913376342
3.5000000000000004e-05,0.16987989439677484,0.953049062267143
3.55e-05,0.1746736681654837,0.9720147846225837
3.6e-05,0.17956175380731365,0.990975358052972
3.65e-05,0.1845441155095266,1.0099306822451524
3.7e-05,0.18959923233650314,1.015859385204556
3.7500000000000003e-05,0.19465802273217492,1.0156550467273107
3.8e-05,0.19971525137376164,1.0154453273698913
3.85e-05,0.2047708915250029,1.0152302288076762
3.9e-05,0.20982491646086912,1.0150097527444806
3.95e-05,0.2148772994677029,1.0147839009125454
4e-05,0.2199280138433593,1.0149356537959275
4.05e-05,0.22502586100269195,1.033847974938297
4.1e-05,0.2302177205777576,1.0527548238292437
4.15e-05,0.23550355517124236,1.0716561004750094
4.2e-05,0.24088332688988254,1.09055170492188
4.25e-05,0.24635699734471717,1.1094415372567095
4.3e-05,0.25192452765134454,1.1283254976074526
4.35e-05,0.2575858784301799,1.147203486143686
4.4e-05,0.2633410098067171,1.1660754030771388
4.4500000000000004e-05,0.2691898814117913,1.1849411486622172
4.5e-05,0.27513245238184625,1.2038006231965312
4.55e-05,0.2811686813592022,1.2226537270214197
4.6e-05,0.2872985264923274,1.2415003605224786
4.65e-05,0.29352194543611304,1.2603404241300813
4.7000000000000004e-05,0.2998174107269831,1.266152546600137
4.75e-05,0.30611583428536215,1.2658303084861937
4.8e-05,0.3124119742694466,1.265501371109082
4.85e-05,0.3187057974284697,1.2651657369154719
4.9e-05,0.32499727052744826,1.2648234083873966
4.9500000000000004e-05,0.33128636034735554,1.2644743880422378
5e-05,0.3375730336852991,1.2641186784327079
5.05e-05,0.34390417066575457,1.2829052023464127
5.1e-05,0.35032855943308483,1.3016849423941699
5.15e-05,0.3568461561134542,1.3204577993947786
5.2000000000000004e-05,0.3634569163418311,1.3392236742139674
5.25e-05,0.37016079526227474,1.3579824677649164
5.3e-05,0.37695774752822525,1.3767340810087836
5.35e-05,0.38384772730279565,1.3954784149552228
5.4e-05,0.3908306882590671,1.414215370662902
5.45e-05,0.3979065835803855,1.4329448492400336
5.5e-05,0.40507536596066235,1.4516667518448874
5.55e-05,0.41233698760467685,1.4703809796863145
5.6e-05,0.41969140022838075,1.4890874340242661
5.6500000000000005e-05,0.42713855505920717,1.5077860161703152
5.7e-05,0.43465691821121366,1.5134553557684032
5.75e-05,0.44217739518758414,1.51298903426694
5.8e-05,0.44969473773443397,1.5125147138884445
5.85e-05,0.4572089061941081,1.5120323979880907
5.9000000000000004e-05,0.46471986092996015,1.5115420899632313
5.95e-05,0.4722275623265622,1.5110437932533736
6e-05,0.47973197078991264,1.5105375113401573
6.05e-05,0.48727996005870416,1.5291721679469128
6.1e-05,0.4949203118968783,1.5477987466269734
6.15e-05,0.5026529760555706,1.5664171491484373
6.2e-05,0.5104779018001477,1.5850272773331109
6.25e-05,0.5183950379105277,1.6036290330570293
6.3e-05,0.5264043326815024,1.6222223182509676
6.35e-05,0.5345057339230642,1.6408070349009594
6.4e-05,0.5426991889607325,1.659383085048813
6.45e-05,0.5509846446358855,1.6779503707926262
6.500000000000001e-05,0.5593620473060928,1.6965087942872992
6.55e-05,0.5678313428454513,1.7150582577450528
6.6e-05,0.5763924766449231,1.733598663435939
6.65e-05,0.5850453936126764,1.752129913688357
6.7e-05,0.5937685535492633,1.757630639169791
6.75e-05,0.6024928556501536,1.7569944223589122
6.8e-05,0.611213045359573,1.7563489265152061
6.85e-05,0.6199290767238335,1.7556941560375132
6.9e-05,0.6286409038161471,1.7550301153735481
6.95e-05,0.6373484807368673,1.7543568090198691
7.000000000000001e-05,0.6460517616137291,1.7540572202452558
7.05e-05,0.6547995287074349,1.7725143153984826
7.1e-05,0.6636386425119608,1.7909620567946125
7.15e-05,0.672569046508083,1.809400347285715
7.2e-05,0.6815906836968958,1.8278290897842335
7.25e-05,0.6907034966001676,1.8462481872635008
7.3e-05,0.6999074272606957,1.864657542758244
7.35e-05,0.7092024172426635,1.8830570593650984
7.4e-05,0.7185884076320025,1.901446640243114
7.45e-05,0.7280653390367539,1.9198261886142631
7.500000000000001e-05,0.7376331515874353,1.9381956077639506
7.55e-05,0.7472917849374094,1.956554801041523
7.6e-05,0.757041178263252,1.974903671860771
7.65e-05,0.766881270265128,1.9932421237004418
7.7e-05,0.7767905145420003,1.99854878838497
7.75e-05,0.7866998040941966,1.9977172495565665
7.8e-05,0.7966038781772777,1.9968751716448485
7.85e-05,0.8065026846554041,1.9960225602253658
7.9e-05,0.8163961714261783,1.9951594209291172
7.950000000000001e-05,0.8262842864209189,1.994285759442512
8e-05,0.8361669776049344,1.9937845602307342
8.05e-05,0.8460930210831414,2.012038790845522
8.1e-05,0.8561092712004014,2.030282414811447
8.15e-05,0.8662156652950779,2.048515336196622
8.2e-05,0.8764121402325907,2.0667374591360668
8.25e-05,0.8866986324058007,2.084948687832211
8.3e-05,0.8970750777353961,2.103148926555401
8.35e-05,0.9075414116702846,2.121338079644397
8.4e-05,0.9180975691879827,2.1395160515068765
8.450000000000001e-05,0.9287434847950137,2.157682746619933
8.5e-05,0.939479092527303,2.1758380695305815
8.55e-05,0.9503043259505797,2.193981924856258
8.6e-05,0.9612191181607763,2.212114217285317
8.65e-05,0.9722234017844358,2.2302348515775305
8.7e-05,0.983295624353954,2.2353224608448183
8.75e-05,0.9943666728101731,2.2342706300233286
8.8e-05,1.005431280356288,2.2332070248430522
8.85e-05,1.0164893888112383,2.232131652186355
8.900000000000001e-05,1.027540940034586,2.231044518997473
8.950000000000001e-05,1.0385858759268214,2.229945632282474
9e-05,1.0496241384296638,2.2288349991092153
9.05e-05,1.0607025828374312,2.246861546806872
9.1e-05,1.0718699724896867,2.2648762625542354
9.15e-05,1.0831262387332792,2.282879051764447
9.2e-05,1.0944713124494827,2.3008698199239346
9.25e-05,1.1059051240544022,2.318848472592892
9.3e-05,1.1174276034994013,2.336814915405784
9.35e-05,1.1290386802715162,2.3547690540718382
9.400000000000001e-05,1.140738283393885,2.372710794375534
9.45e-05,1.152526341426168,2.390640042177105
9.5e-05,1.164402782464982,2.4085567034130237
9.55e-05,1.176367534144324,2.4264606840964937
9.6e-05,1.1884205236360101,2.4443518903179506
9.65e-05,1.2005616776501065,2.4622302282455424
9.7e-05,1.2127694378102074,2.4670743324058577
9.75e-05,1.224974685156057,2.465777789155995
9.8e-05,1.2371721469974848,2.464468265653165
9.85e-05,1.2493617592678326,2.463145770213223
9.900000000000001e-05,1.2615434579488582,2.461810311220151
9.95e-05,1.2737171790710742,2.460461897126009
0.0001,1.285882858714079,2.4591005364508876
0.0001005,1.2980873463179545,2.4768751579824335
